user_id,total_amount,number_transactions,avg_amount
user_0,6925.080000000002,520,13.317461538461542
user_1,12955.540000000005,133,97.41007518796997
user_10,5438.920000000002,123,44.2188617886179
user_100,4230.1,55,76.9109090909091
user_1000,843.1199999999999,43,19.607441860465112
user_10000,4051.7200000000003,78,51.945128205128206
user_10001,3346.3200000000006,51,65.61411764705883
user_10002,25.099999999999998,5,5.02
user_10003,3263.6099999999997,21,155.41
user_10004,32.339999999999996,2,16.169999999999998
user_10005,17.35,8,2.16875
user_10006,1211.5299999999997,63,19.230634920634916
user_10007,936.86,13,72.06615384615385
user_10008,3203.0800000000013,81,39.54419753086421
user_10009,358.1799999999999,21,17.056190476190473
user_1001,9395.020000000004,148,63.47986486486489
user_10010,3330.4900000000002,59,56.44898305084746
user_10011,5207.750000000002,119,43.76260504201682
user_10012,56.45,3,18.816666666666666
user_10013,181.88,3,60.626666666666665
user_10014,3190.2299999999977,189,16.879523809523796
user_10015,969.4799999999998,31,31.273548387096767
user_10016,499.5999999999999,36,13.877777777777775
user_10017,20.0,2,10.0
user_10019,46360.79999999999,260,178.31076923076918
user_1002,798.8300000000002,82,9.741829268292685
user_10020,19.88,2,9.94
user_10021,57.28,4,14.32
user_10022,5757.730000000001,219,26.291004566210052
user_10023,8175.700000000001,54,151.40185185185186
user_10024,2744.13,30,91.471
user_10026,1446.6000000000006,102,14.182352941176477
user_10027,1605.7299999999998,73,21.996301369863012
user_10028,4.72,2,2.36
user_10029,231.75,6,38.625
user_1003,726.0,74,9.81081081081081
user_10030,26482.499999999996,425,62.31176470588235
user_10031,9.79,2,4.895
user_10032,548.86,40,13.7215
user_10033,93947.39999999998,25,3757.8959999999993
user_10034,518.0,9,57.55555555555556
user_10035,2860.23,26,110.00884615384615
user_10036,6821.999999999999,142,48.04225352112675
user_10037,14.99,2,7.495
user_10038,15.88,2,7.94
user_1004,7.82,4,1.955
user_10040,631.33,23,27.44913043478261
user_10041,1163.8899999999999,19,61.257368421052625
user_10042,254.21999999999994,9,28.24666666666666
user_10043,23994.44,161,149.03378881987578
user_10044,147.96,8,18.495
user_10045,296.56,11,26.96
user_10046,92.49,11,8.408181818181818
user_10047,4252.35,56,75.93482142857144
user_10048,3576.8999999999996,26,137.5730769230769
user_10049,3040.060000000001,185,16.43275675675676
user_1005,646.7800000000001,13,49.752307692307696
user_10050,3117.0099999999998,46,67.76108695652174
user_10051,7908.6000000000295,621,12.73526570048314
user_10052,1732.8100000000002,28,61.886071428571434
user_10053,4629.459999999998,70,66.13514285714284
user_10054,2140.99,28,76.46392857142857
user_10055,778.0,29,26.82758620689655
user_10056,6608.799999999999,202,32.716831683168316
user_10057,698.94,8,87.3675
user_10058,1078.2100000000003,34,31.712058823529418
user_10059,1569.38,69,22.74463768115942
user_1006,1432.6000000000001,6,238.76666666666668
user_10060,16754.36000000004,507,33.04607495069042
user_10061,19.990000000000002,3,6.663333333333334
user_10062,4226.500000000002,167,25.308383233532943
user_10063,62.97,4,15.7425
user_10064,6073.190000000002,111,54.71342342342344
user_10065,6104.259999999996,341,17.90105571847506
user_10066,9702.149999999998,137,70.81861313868612
user_10067,3847.88,52,73.9976923076923
user_10068,5029.510000000002,137,36.71175182481753
user_10069,27922.759999999995,831,33.601395908543914
user_10070,8.95,1,8.95
user_10071,26726.80999999999,285,93.77828070175435
user_10072,27544.080000000005,577,47.73670710571925
user_10074,12282.060000000012,266,46.17315789473689
user_10075,15023.119999999995,550,27.31476363636363
user_10076,1361.6600000000003,53,25.691698113207554
user_10077,501.9500000000001,22,22.815909090909095
user_10078,4104.469999999999,20,205.22349999999997
user_1008,1832.7799999999993,94,19.497659574468077
user_10080,1959.5500000000004,39,50.244871794871806
user_10081,2061.9399999999996,88,23.43113636363636
user_10082,4928.560000000004,131,37.62259541984736
user_10083,6113.800000000001,92,66.45434782608697
user_10084,25.54,2,12.77
user_10085,2798.09,74,37.81202702702703
user_10086,516.0799999999999,58,8.897931034482758
user_10087,306.46000000000004,10,30.646000000000004
user_10088,899.6699999999998,44,20.44704545454545
user_10089,2672.849999999999,74,36.11959459459458
user_1009,3633.5800000000013,97,37.45958762886599
user_10090,4212.010000000002,132,31.909166666666682
user_10091,375.8500000000001,25,15.034000000000002
user_10092,8848.880000000008,172,51.446976744186095
user_10093,4141.42,61,67.89213114754098
user_10094,10342.58,321,32.2198753894081
user_10095,85.93999999999997,20,4.296999999999999
user_10096,409.03000000000003,12,34.08583333333333
user_10097,595.79,21,28.370952380952378
user_10098,2574.49,21,122.5947619047619
user_10099,2129.320000000001,135,15.77274074074075
user_101,14884.510000000004,206,72.25490291262138
user_1010,1030.27,35,29.436285714285713
user_10100,1672.8199999999995,33,50.691515151515134
user_10101,1825.7500000000002,80,22.821875000000002
user_10102,2929.8600000000033,224,13.079732142857157
user_10103,9131.949999999999,97,94.14381443298969
user_10104,8711.94,51,170.8223529411765
user_10105,1263.5600000000004,39,32.39897435897437
user_10106,24619.82,243,101.3161316872428
user_10107,23.259999999999998,10,2.3259999999999996
user_10108,5728.060000000001,113,50.690796460177005
user_10109,682.7300000000004,57,11.97771929824562
user_1011,36045.48999999997,261,138.10532567049796
user_10110,706.2000000000002,44,16.050000000000004
user_10111,2852.43,130,21.94176923076923
user_10112,1131.2,33,34.27878787878788
user_10113,8696.110000000008,272,31.970992647058853
user_10114,19428.960000000014,979,19.84572012257407
user_10115,3006.590000000002,171,17.582397660818724
user_10116,1560.8000000000004,50,31.216000000000008
user_10117,67.0,3,22.333333333333332
user_10118,8546.939999999995,374,22.85278074866309
user_10119,19.84,3,6.613333333333333
